[2024-05-01 10:00:01] | ERROR | [payment-service] | req-001 | Insufficient Funds | {"user_id": 133, "balance": 41.58}
[2024-05-01 10:00:02] | WARN | [risk-engine] | req-002 | High latency detected | {"latency_ms": 2018}
[2024-05-01 10:00:05] | ERROR | [payment-service] | req-003 | Connection timeout | {"user_id": 168, "retry": 1}
[2024-05-01 10:00:08] | DEBUG | [payment-service] | req-004 | Processing transaction | {"amount": 2340}
[2024-05-01 10:00:11] | INFO | [auth-service] | req-005 | User login successful | {"user_id": 112, "ip": "192.168.1.61"}
[2024-05-01 10:00:14] | INFO | [auth-service] | req-006 | Token refreshed | {"user_id": 152}
[2024-05-01 10:00:17] | INFO | [auth-service] | req-007 | User login successful | {"user_id": 101, "ip": "192.168.1.89"}
[2024-05-01 10:00:19] | INFO | [auth-service] | req-008 | User login successful | {"user_id": 139, "ip": "192.168.1.233"}
[2024-05-01 10:00:22] | ERROR | [payment-service] | req-009 | Insufficient Funds | {"user_id": 197, "balance": 33.76}
[2024-05-01 10:00:25] | INFO | [auth-service] | req-010 | Token refreshed | {"user_id": 185}
[2024-05-01 10:00:28] | ERROR | [payment-service] | req-011 | Insufficient Funds | {"user_id": 107, "balance": 5.91}
[2024-05-01 10:00:31] | INFO | [auth-service] | req-012 | Token refreshed | {"user_id": 138}
[2024-05-01 10:00:32] | ERROR | [payment-service] | req-013 | Connection timeout | {"user_id": 186, "retry": 2}
[2024-05-01 10:00:33] | DEBUG | [payment-service] | req-016 | Processing transaction | {"amount": 1200}
[2024-05-01 10:00:36] | ERROR | [payment-service] | req-015 | Connection timeout | {"user_id": 167, "retry": 3}
[2024-05-01 10:00:38] | ERROR | [payment-service] | req-016 | Insufficient Funds | {"user_id": 141, "balance": 6.45}
[2024-05-01 10:00:41] | INFO | [auth-service] | req-017 | User login successful | {"user_id": 186, "ip": "192.168.1.145"}
[2024-05-01 10:00:43] | ERROR | [payment-service] | req-018 | Connection timeout | {"user_id": 126, "retry": 1}
[2024-05-01 10:00:45] | ERROR | [payment-service] | req-019 | Insufficient Funds | {"user_id": 129, "balance": 41.58}
[2024-05-01 10:00:46] | ERROR | [payment-service] | req-020 | Connection timeout | {"user_id": 162, "retry": 1}
[2024-05-01 10:00:47] | ERROR | [payment-service] | req-021 | Insufficient Funds | {"user_id": 180, "balance": 10.51}
[2024-05-01 10:00:49] | INFO | [auth-service] | req-022 | User login successful | {"user_id": 125, "ip": "192.168.1.152"}
[2024-05-01 10:00:52] | INFO | [auth-service] | req-023 | User login successful | {"user_id": 157, "ip": "192.168.1.189"}
[2024-05-01 10:00:53] | ERROR | [payment-service] | req-024 | Connection timeout | {"user_id": 115, "retry": 1}
[2024-05-01 10:00:55] | ERROR | [payment-service] | req-025 | Insufficient Funds | {"user_id": 177, "balance": 30.83}
[2024-05-01 10:00:58] | INFO | [auth-service] | req-026 | User login successful | {"user_id": 148, "ip": "192.168.1.6"}
[2024-05-01 10:00:59] | WARN | [risk-engine] | req-027 | High latency detected | {"latency_ms": 2765}
[2024-05-01 10:01:01] | INFO | [auth-service] | req-028 | User login successful | {"user_id": 198, "ip": "192.168.1.108"}
BROKEN_LINE_GARBAGE_DATA_37547
[2024-05-01 10:01:04] | ERROR | [payment-service] | req-029 | Connection timeout | {"user_id": 139, "retry": 2}
